variable,type,psi,psi_status,js,js_status,ks_pvalue,ks_status,chi_pvalue,chi_status,overall_status,risk_score,severity_rank,priority_score
tendencia_ingresos,categorical,,NA,,NA,,NA,0.0,DRIFT,DRIFT,0.0,3,3.0
promedio_ingresos_datacredito,numeric,0.006961215537390286,OK,0.045500505360262525,OK,0.3600724838028821,OK,,NA,OK,0.05246172089765281,1,1.0524617208976528
saldo_principal,numeric,0.007863109785199758,OK,0.04168827579961337,OK,0.14236006778093813,OK,,NA,OK,0.04955138558481313,1,1.049551385584813
huella_consulta,numeric,0.003781327413164009,OK,0.0434394167044912,OK,0.7980957488831825,OK,,NA,OK,0.047220744117655214,1,1.0472207441176553
cant_creditosvigentes,numeric,0.005574713580384156,OK,0.03307526479473434,OK,0.1664760776653631,OK,,NA,OK,0.03864997837511849,1,1.0386499783751184
creditos_sectorfinanciero,numeric,0.005039855172562897,OK,0.029416493336014735,OK,0.4312798915874577,OK,,NA,OK,0.034456348508577636,1,1.0344563485085776
creditos_sectorreal,numeric,0.0012562605847759444,OK,0.031724680776330644,OK,0.9572065647172883,OK,,NA,OK,0.03298094136110659,1,1.0329809413611066
creditos_sectorcooperativo,numeric,0.0012740583493831238,OK,0.029635906594321165,OK,0.9486567226163328,OK,,NA,OK,0.03090996494370429,1,1.0309099649437043
saldo_total,numeric,0.006334008966974596,OK,0.024093814908388498,OK,0.18640556447235077,OK,,NA,OK,0.030427823875363094,1,1.030427823875363
cuota_pactada,numeric,0.005141830348444441,OK,0.024544433829687056,OK,0.8373232928130983,OK,,NA,OK,0.029686264178131496,1,1.0296862641781315
capital_prestado,numeric,0.0024586563105828147,OK,0.025611763943123606,OK,0.993276601856348,OK,,NA,OK,0.028070420253706423,1,1.0280704202537063
edad_cliente,numeric,0.00438348331068573,OK,0.0233645364058915,OK,0.9822213090166425,OK,,NA,OK,0.02774801971657723,1,1.0277480197165771
mes_prestamo,numeric,0.0022793159893945104,OK,0.02463320508301158,OK,0.8373232928130983,OK,,NA,OK,0.02691252107240609,1,1.0269125210724062
plazo_meses,numeric,0.0031847324344061803,OK,0.022513827975880914,OK,0.8373232928130983,OK,,NA,OK,0.025698560410287095,1,1.025698560410287
total_otros_prestamos,numeric,0.005854679858391837,OK,0.019195620363970305,OK,0.7804702490552263,OK,,NA,OK,0.025050300222362144,1,1.025050300222362
puntaje_datacredito,numeric,0.0014610779670477696,OK,0.022621011810927436,OK,0.555004060723149,OK,,NA,OK,0.024082089777975206,1,1.0240820897779752
saldo_mora,numeric,,NA,0.021921542363142227,OK,1.0,OK,,NA,OK,0.021921542363142227,1,1.0219215423631423
anio_prestamo,numeric,0.0005976946251646976,OK,0.02036269271564501,OK,0.9999508913249704,OK,,NA,OK,0.020960387340809707,1,1.0209603873408097
salario_cliente,numeric,0.0013261587440824992,OK,0.01837649191163447,OK,0.7745040898615811,OK,,NA,OK,0.01970265065571697,1,1.019702650655717
tipo_credito,numeric,0.00017413977131015964,OK,0.009375514210979577,OK,0.9999999585186816,OK,,NA,OK,0.009549653982289737,1,1.0095496539822897
saldo_mora_codeudor,numeric,,NA,,NA,1.0,OK,,NA,OK,0.0,1,1.0
tipo_laboral,categorical,,NA,,NA,,NA,0.32086170571564077,OK,OK,0.0,1,1.0
